,order_id,start_state_abr,end_state_abr,start_city,end_city,start_zip,end_zip,total_volume_inches3,total_distance_miles,total_weight_lbs,total_predicted_hours
0,10000,ca,ca,highland,highland,92346,92346,1.0,1.4478232,1.0,0.09638889
1,10001,ca,ca,sandiego,sandiego,92131,92120,192.0,6.5238996,55.0,0.4761111
2,10002,ok,ok,oklahomacity,oklahomacity,73102,73110,2420.0,7.2203712,16.0,0.30416667
3,10003,ny,ny,newyorkcity,newyorkcity,11430,11434,774.75745,1.7293664,6.612,0.14416666
4,10004,fl,fl,delraybeach,miami,33484,33138,176.0,42.2615,55.0,0.9338889
5,10005,ca,ca,sacramento,sacramento,95815,95823,192.0,8.521154,15.0,0.34888887
6,10006,tx,tx,littleelm,frisco,75068,75034,5070.0,2.257579,79.0,0.1475
7,10007,or,wa,portland,seattle,97227,98104,4608.0,143.14594,22.0,2.9702778
8,10008,il,il,foxrivergrove,chicago,60021,60018,7776.0,21.709333,38.0,0.69305557
9,10009,pa,md,sharonhill,columbia,19079,21046,1.0,95.20208,1.0,2.0158334
10,10010,ca,ca,sanfrancisco,sanjose,94158,95119,1728.0,48.73891,15.0,1.05
11,10011,wa,wa,seattle,everett,98158,98204,15870.0,32.959225,35.0,0.8105556
12,10012,ca,ca,sacramento,woodland,95815,95776,1728.0,16.85014,10.0,0.44805557
13,10013,fl,fl,wildwood,ocala,34785,34471,1.0,24.264874,1.0,0.7702778
14,10014,ny,nj,newyorkcity,livingston,10017,7039,3267.0,17.210764,23.0,0.75416666
15,10015,ca,ca,sandiego,sandiego,92131,92105,4368.0,10.37309,46.0,0.3225
16,10016,ny,ct,tuckahoe,stamford,10707,6905,1.0,16.2415,1.0,0.5083333
17,10017,wa,wa,seattle,yakima,98158,98903,19440.0,102.64202,176.32,2.763611
18,10018,ca,ca,citrusheights,southsanfrancisco,95610,94080,792.0,93.747444,5.0,2.4055555
19,10019,az,az,tolleson,chandler,85353,85224,750.0,23.752867,8.0,0.6047222
20,10020,ca,ca,sandiego,sandiego,92131,92120,192.0,7.095977,10.0,0.4163889
21,10021,ca,ca,carlsbad,torrance,92011,90501,11136.0,78.283066,55.0,1.4444444
22,10022,ca,ca,folsom,ranchocordova,95630,95670,18432.0,8.471538,120.0,0.29333332
23,10023,ca,ca,sandiego,alisoviejo,92123,92656,792.0,63.324806,3.0,1.2319444
24,10024,ny,pa,newyorkcity,philadelphia,10019,19104,3168.0,84.79064,30.0,1.8961111
25,10025,il,il,foxrivergrove,desplaines,60021,60018,7776.0,21.375216,38.0,0.67583334
26,10026,ca,ca,ranchocucamonga,newhall,91730,91321,1.0,57.872013,1.0,1.1805556
27,10027,tx,tx,fortworth,dallas,76104,76051,1.0,21.251812,1.0,0.51
28,10028,wa,wa,redmond,redmond,98052,98052,384.0,1.8291669,1.0,0.16972223
29,10029,ca,ca,sacramento,granitebay,95815,95746,192.0,17.525826,2.0,0.46944445
30,10030,ca,ca,elsegundo,losangeles,90245,90025,192.0,10.327641,10.0,0.41833332
31,10031,ca,ca,sandiego,sandiego,92123,92103,23328.0,4.7942157,85.0,0.26416665
32,10032,ca,ca,lamirada,westcovina,90638,91791,1.0,13.018888,1.0,0.54333335
33,10033,ca,ca,sacramento,sacramento,95822,95815,192.0,5.400707,2.0,0.26055557
34,10034,nc,nc,chapelhill,greenville,27514,27834,288.0,94.54338,2.0,1.7366667
35,10035,fl,fl,miami,miami,33138,33176,960.0,14.247141,10.0,0.57055557
36,10036,ma,ma,everett,canton,2149,02021,1575.936,15.020817,35.9,0.87972224
37,10037,tn,tn,memphis,memphis,38118,38116,2.0,5.330575,2.3,0.25111112
